,td_a,td_b,td_ttd_a_MR_ADD,td_ttd_b_MR_ADD,td_ttd_a_MR_EXC,td_ttd_b_MR_EXC,td_ttd_a_MR_INC,td_ttd_b_MR_INC,td_ttd_a_MR_INV,td_ttd_b_MR_INV,td_ttd_a_MR_MUL,td_ttd_b_MR_MUL,td_ttd_a_MR_PER,td_ttd_b_MR_PER,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
2523,"[9, 8, 0, 7, -4, -12]","[-12, -1, 0, -9, -10, 11]","[13, 12, 4, 11, 0, -8]","[-8, 3, 4, -5, -6, 15]","[9, 8, 7, -4, -12]","[-12, -1, -9, -10, 11]","[9, 8, 4, 0, 7, -4, -12]","[-12, -1, 4, 0, -9, -10, 11]","[9, 8, 0, 7, -4, -12, 0.1111111111111111, 0.125, 'ZeroDivisionError', 0.14285714285714285, -0.25, -0.08333333333333333]","[-12, -1, 0, -9, -10, 11, -0.08333333333333333, -1.0, 'ZeroDivisionError', -0.1111111111111111, -0.1, 0.09090909090909091]","[36, 32, 0, 28, -16, -48]","[-48, -4, 0, -36, -40, 44]","[9, 7, 8, -12, 0, -4]","[-10, -12, -1, -9, 11, 0]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2524,"[-3, 12, 3, 2, 11, 0, 9, -2, -1, 15, 2, 3]","[1, -3, 7, 13, -1, -2, 3, 3, -1, 12, -5, 3]","[1, 16, 7, 6, 15, 4, 13, 2, 3, 19, 6, 7]","[5, 1, 11, 17, 3, 2, 7, 7, 3, 16, -1, 7]","[-3, 12, 3, 2, 11, 0, -2, -1, 15, 2, 3]","[1, -3, 7, 13, -1, -2, 3, -1, 12, -5, 3]","[-3, 12, 3, 2, 11, 0, 9, -2, 4, -1, 15, 2, 3]","[1, -3, 7, 13, -1, -2, 3, 3, 4, -1, 12, -5, 3]","[-3, 12, 3, 2, 11, 0, 9, -2, -1, 15, 2, 3, -0.3333333333333333, 0.08333333333333333, 0.3333333333333333, 0.5, 0.09090909090909091, 'ZeroDivisionError', 0.1111111111111111, -0.5, -1.0, 0.06666666666666667, 0.5, 0.3333333333333333]","[1, -3, 7, 13, -1, -2, 3, 3, -1, 12, -5, 3, 1.0, -0.3333333333333333, 0.14285714285714285, 0.07692307692307693, -1.0, -0.5, 0.3333333333333333, 0.3333333333333333, -1.0, 0.08333333333333333, -0.2, 0.3333333333333333]","[-12, 48, 12, 8, 44, 0, 36, -8, -4, 60, 8, 12]","[4, -12, 28, 52, -4, -8, 12, 12, -4, 48, -20, 12]","[12, 15, 2, 3, -1, 9, -3, 11, 3, 0, -2, 2]","[7, -1, 3, 3, -2, -5, -3, 1, -1, 12, 3, 13]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2525,"[-4, 3, 1, -2, -2, 2, -3, 0, -3, -1, 5, 4, 2, -5]","[-5, -3, -1, -2, 4, 0, 0, -4, 3, 5, -3, 5, 2, 4]","[0, 7, 5, 2, 2, 6, 1, 4, 1, 3, 9, 8, 6, -1]","[-1, 1, 3, 2, 8, 4, 4, 0, 7, 9, 1, 9, 6, 8]","[3, 1, -2, -2, 2, -3, 0, -3, -1, 5, 4, 2, -5]","[-3, -1, -2, 4, 0, 0, -4, 3, 5, -3, 5, 2, 4]","[-4, 3, 1, -2, -2, 2, -3, 0, -3, 4, -1, 5, 4, 2, -5]","[-5, -3, -1, -2, 4, 0, 0, -4, 3, 4, 5, -3, 5, 2, 4]","[-4, 3, 1, -2, -2, 2, -3, 0, -3, -1, 5, 4, 2, -5, -0.25, 0.3333333333333333, 1.0, -0.5, -0.5, 0.5, -0.3333333333333333, 'ZeroDivisionError', -0.3333333333333333, -1.0, 0.2, 0.25, 0.5, -0.2]","[-5, -3, -1, -2, 4, 0, 0, -4, 3, 5, -3, 5, 2, 4, -0.2, -0.3333333333333333, -1.0, -0.5, 0.25, 'ZeroDivisionError', 'ZeroDivisionError', -0.25, 0.3333333333333333, 0.2, -0.3333333333333333, 0.2, 0.5, 0.25]","[-16, 12, 4, -8, -8, 8, -12, 0, -12, -4, 20, 16, 8, -20]","[-20, -12, -4, -8, 16, 0, 0, -16, 12, 20, -12, 20, 8, 16]","[2, -4, 4, 5, -2, 0, -5, -2, -3, 1, 3, -3, -1, 2]","[5, -5, 3, 2, -1, 4, 4, -3, -4, 0, 0, -2, 5, -3]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2526,"[13, 2, -8, -3, -8, 11, 4, -3, 12]","[-6, 2, 0, -8, 11, -3, -2, 2, 10]","[17, 6, -4, 1, -4, 15, 8, 1, 16]","[-2, 6, 4, -4, 15, 1, 2, 6, 14]","[13, 2, -8, -3, -8, 11, -3, 12]","[-6, 2, 0, -8, 11, -3, 2, 10]","[13, 2, -8, -3, -8, 11, 4, -3, 12, 4]","[-6, 2, 0, -8, 11, -3, -2, 2, 10, 4]","[13, 2, -8, -3, -8, 11, 4, -3, 12, 0.07692307692307693, 0.5, -0.125, -0.3333333333333333, -0.125, 0.09090909090909091, 0.25, -0.3333333333333333, 0.08333333333333333]","[-6, 2, 0, -8, 11, -3, -2, 2, 10, -0.16666666666666666, 0.5, 'ZeroDivisionError', -0.125, 0.09090909090909091, -0.3333333333333333, -0.5, 0.5, 0.1]","[52, 8, -32, -12, -32, 44, 16, -12, 48]","[-24, 8, 0, -32, 44, -12, -8, 8, 40]","[2, -3, -8, -3, 11, 4, -8, 12, 13]","[11, -3, -2, -8, 0, 2, -6, 10, 2]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2527,"[-7, 6, -6, -5]","[-4, 17, -2, 3]","[-3, 10, -2, -1]","[0, 21, 2, 7]","[-7, -6, -5]","[-4, -2, 3]","[-7, 6, -6, -5, 4]","[-4, 17, -2, 3, 4]","[-7, 6, -6, -5, -0.14285714285714285, 0.16666666666666666, -0.16666666666666666, -0.2]","[-4, 17, -2, 3, -0.25, 0.058823529411764705, -0.5, 0.3333333333333333]","[-28, 24, -24, -20]","[-16, 68, -8, 12]","[-5, -6, -7, 6]","[17, -2, -4, 3]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2528,"[-5, -10, 3, -16, 6, -3]","[0, 0, -9, -8, 4, -16]","[-1, -6, 7, -12, 10, 1]","[4, 4, -5, -4, 8, -12]","[-10, 3, -16, 6, -3]","[0, -9, -8, 4, -16]","[-5, 4, -10, 3, -16, 6, -3]","[0, 4, 0, -9, -8, 4, -16]","[-5, -10, 3, -16, 6, -3, -0.2, -0.1, 0.3333333333333333, -0.0625, 0.16666666666666666, -0.3333333333333333]","[0, 0, -9, -8, 4, -16, 'ZeroDivisionError', 'ZeroDivisionError', -0.1111111111111111, -0.125, 0.25, -0.0625]","[-20, -40, 12, -64, 24, -12]","[0, 0, -36, -32, 16, -64]","[-10, -16, -3, -5, 3, 6]","[-8, 0, -16, -9, 0, 4]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2529,"[-4, 17, -3, 13, -15, -3, 8, 2, 11, -5, 5, 12, -10, 15]","[-15, -11, -3, -15, 17, -6, -14, -7, -10, -16, -15, -17, -16, -1]","[0, 21, 1, 17, -11, 1, 12, 6, 15, -1, 9, 16, -6, 19]","[-11, -7, 1, -11, 21, -2, -10, -3, -6, -12, -11, -13, -12, 3]","[-4, 17, -3, 13, -15, 8, 2, 11, -5, 5, 12, -10, 15]","[-15, -11, -3, -15, 17, -14, -7, -10, -16, -15, -17, -16, -1]","[-4, 17, -3, 13, 4, -15, -3, 8, 2, 11, -5, 5, 12, -10, 15]","[-15, -11, -3, -15, 4, 17, -6, -14, -7, -10, -16, -15, -17, -16, -1]","[-4, 17, -3, 13, -15, -3, 8, 2, 11, -5, 5, 12, -10, 15, -0.25, 0.058823529411764705, -0.3333333333333333, 0.07692307692307693, -0.06666666666666667, -0.3333333333333333, 0.125, 0.5, 0.09090909090909091, -0.2, 0.2, 0.08333333333333333, -0.1, 0.06666666666666667]","[-15, -11, -3, -15, 17, -6, -14, -7, -10, -16, -15, -17, -16, -1, -0.06666666666666667, -0.09090909090909091, -0.3333333333333333, -0.06666666666666667, 0.058823529411764705, -0.16666666666666666, -0.07142857142857142, -0.14285714285714285, -0.1, -0.0625, -0.06666666666666667, -0.058823529411764705, -0.0625, -1.0]","[-16, 68, -12, 52, -60, -12, 32, 8, 44, -20, 20, 48, -40, 60]","[-60, -44, -12, -60, 68, -24, -56, -28, -40, -64, -60, -68, -64, -4]","[12, -4, 15, 17, 11, 13, 5, -10, -15, 2, -5, -3, 8, -3]","[-15, 17, -17, -3, -6, -11, -16, -16, -1, -14, -7, -10, -15, -15]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2530,"[-4, 11, 1]","[-3, 15, 11]","[0, 15, 5]","[1, 19, 15]","[-4, 1]","[-3, 11]","[-4, 11, 1, 4]","[-3, 15, 11, 4]","[-4, 11, 1, -0.25, 0.09090909090909091, 1.0]","[-3, 15, 11, -0.3333333333333333, 0.06666666666666667, 0.09090909090909091]","[-16, 44, 4]","[-12, 60, 44]","[-4, 11, 1]","[15, -3, 11]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2531,"[4, 10, -5, 6, 4, -2]","[-2, 6, -5, 4, 3, -4]","[8, 14, -1, 10, 8, 2]","[2, 10, -1, 8, 7, 0]","[4, 10, 6, 4, -2]","[-2, 6, 4, 3, -4]","[4, 10, -5, 6, 4, 4, -2]","[-2, 6, -5, 4, 3, 4, -4]","[4, 10, -5, 6, 4, -2, 0.25, 0.1, -0.2, 0.16666666666666666, 0.25, -0.5]","[-2, 6, -5, 4, 3, -4, -0.5, 0.16666666666666666, -0.2, 0.25, 0.3333333333333333, -0.25]","[16, 40, -20, 24, 16, -8]","[-8, 24, -20, 16, 12, -16]","[-5, -2, 4, 6, 4, 10]","[-5, -2, 4, -4, 6, 3]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2532,"[-2, -6, 4, -3]","[-12, 14, 17, -9]","[2, -2, 8, 1]","[-8, 18, 21, -5]","[-2, -6, -3]","[-12, 14, -9]","[-2, -6, 4, -3, 4]","[-12, 14, 17, -9, 4]","[-2, -6, 4, -3, -0.5, -0.16666666666666666, 0.25, -0.3333333333333333]","[-12, 14, 17, -9, -0.08333333333333333, 0.07142857142857142, 0.058823529411764705, -0.1111111111111111]","[-8, -24, 16, -12]","[-48, 56, 68, -36]","[-6, -3, 4, -2]","[17, 14, -12, -9]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2533,"[-7, -6, 2, 5, 6, -1]","[4, 10, -10, 2, -7, 10]","[-3, -2, 6, 9, 10, 3]","[8, 14, -6, 6, -3, 14]","[-6, 2, 5, 6, -1]","[10, -10, 2, -7, 10]","[-7, -6, 2, 5, 6, 4, -1]","[4, 10, -10, 2, -7, 4, 10]","[-7, -6, 2, 5, 6, -1, -0.14285714285714285, -0.16666666666666666, 0.5, 0.2, 0.16666666666666666, -1.0]","[4, 10, -10, 2, -7, 10, 0.25, 0.1, -0.1, 0.5, -0.14285714285714285, 0.1]","[-28, -24, 8, 20, 24, -4]","[16, 40, -40, 8, -28, 40]","[-1, -7, -6, 6, 2, 5]","[4, -10, 10, 10, -7, 2]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2534,"[-2, 10, 1, -13, -12, 5]","[-2, 5, 5, 7, 11, 6]","[2, 14, 5, -9, -8, 9]","[2, 9, 9, 11, 15, 10]","[10, 1, -13, -12, 5]","[5, 5, 7, 11, 6]","[-2, 4, 10, 1, -13, -12, 5]","[-2, 4, 5, 5, 7, 11, 6]","[-2, 10, 1, -13, -12, 5, -0.5, 0.1, 1.0, -0.07692307692307693, -0.08333333333333333, 0.2]","[-2, 5, 5, 7, 11, 6, -0.5, 0.2, 0.2, 0.14285714285714285, 0.09090909090909091, 0.16666666666666666]","[-8, 40, 4, -52, -48, 20]","[-8, 20, 20, 28, 44, 24]","[-2, -13, -12, 1, 5, 10]","[6, -2, 7, 5, 5, 11]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2535,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],[],[],[],[],[],error,[],error,error,error,error,error,error,error,error,error,error
2536,"[-2, 8, 0]","[0, -10, 5]","[2, 12, 4]","[4, -6, 9]","[-2, 0]","[0, 5]","[4, -2, 8, 0]","[4, 0, -10, 5]","[-2, 8, 0, -0.5, 0.125, 'ZeroDivisionError']","[0, -10, 5, 'ZeroDivisionError', -0.1, 0.2]","[-8, 32, 0]","[0, -40, 20]","[-2, 0, 8]","[5, 0, -10]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2537,"[-4, 10, 1, 12, -1, 5, -2, -4, 14, -2, 13, 8, -4]","[-2, 4, -4, 2, -1, 6, -1, -3, 3, 14, 13, 8, 11]","[0, 14, 5, 16, 3, 9, 2, 0, 18, 2, 17, 12, 0]","[2, 8, 0, 6, 3, 10, 3, 1, 7, 18, 17, 12, 15]","[-4, 10, 1, 12, -1, 5, -4, 14, -2, 13, 8, -4]","[-2, 4, -4, 2, -1, 6, -3, 3, 14, 13, 8, 11]","[-4, 10, 1, 12, 4, -1, 5, -2, -4, 14, -2, 13, 8, -4]","[-2, 4, -4, 2, 4, -1, 6, -1, -3, 3, 14, 13, 8, 11]","[-4, 10, 1, 12, -1, 5, -2, -4, 14, -2, 13, 8, -4, -0.25, 0.1, 1.0, 0.08333333333333333, -1.0, 0.2, -0.5, -0.25, 0.07142857142857142, -0.5, 0.07692307692307693, 0.125, -0.25]","[-2, 4, -4, 2, -1, 6, -1, -3, 3, 14, 13, 8, 11, -0.5, 0.25, -0.25, 0.5, -1.0, 0.16666666666666666, -1.0, -0.3333333333333333, 0.3333333333333333, 0.07142857142857142, 0.07692307692307693, 0.125, 0.09090909090909091]","[-16, 40, 4, 48, -4, 20, -8, -16, 56, -8, 52, 32, -16]","[-8, 16, -16, 8, -4, 24, -4, -12, 12, 56, 52, 32, 44]","[-4, 5, 13, 8, -2, -4, 12, -2, 10, -4, -1, 1, 14]","[-2, 6, 4, 11, -3, 8, -1, 2, -1, 14, 13, 3, -4]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2538,[0],[5],[4],[9],[],[],"[4, 0]","[4, 5]","[0, 'ZeroDivisionError']","[5, 0.2]",[0],[20],[0],[5],error,error,error,error,error,error,[],error,error,error,error,error,error,error,error,error,error
2539,"[6, 14, 10, 11, 10, 6, 7, 3, -13, 14]","[12, -12, 5, 1, 3, 8, 1, -9, -4, -12]","[10, 18, 14, 15, 14, 10, 11, 7, -9, 18]","[16, -8, 9, 5, 7, 12, 5, -5, 0, -8]","[6, 14, 10, 11, 10, 6, 7, 3, 14]","[12, -12, 5, 1, 3, 8, 1, -9, -12]","[6, 14, 10, 11, 10, 4, 6, 7, 3, -13, 14]","[12, -12, 5, 1, 3, 4, 8, 1, -9, -4, -12]","[6, 14, 10, 11, 10, 6, 7, 3, -13, 14, 0.16666666666666666, 0.07142857142857142, 0.1, 0.09090909090909091, 0.1, 0.16666666666666666, 0.14285714285714285, 0.3333333333333333, -0.07692307692307693, 0.07142857142857142]","[12, -12, 5, 1, 3, 8, 1, -9, -4, -12, 0.08333333333333333, -0.08333333333333333, 0.2, 1.0, 0.3333333333333333, 0.125, 1.0, -0.1111111111111111, -0.25, -0.08333333333333333]","[24, 56, 40, 44, 40, 24, 28, 12, -52, 56]","[48, -48, 20, 4, 12, 32, 4, -36, -16, -48]","[7, 14, -13, 14, 10, 10, 6, 3, 11, 6]","[3, -12, 1, -4, -9, 8, 1, 5, -12, 12]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2540,"[4, -5, -2, 5, 2, -6, 3]","[1, 2, 1, -1, -3, -2, 0]","[8, -1, 2, 9, 6, -2, 7]","[5, 6, 5, 3, 1, 2, 4]","[4, -5, -2, 5, 2, -6]","[1, 2, 1, -1, -3, -2]","[4, -5, -2, 5, 2, -6, 3, 4]","[1, 2, 1, -1, -3, -2, 0, 4]","[4, -5, -2, 5, 2, -6, 3, 0.25, -0.2, -0.5, 0.2, 0.5, -0.16666666666666666, 0.3333333333333333]","[1, 2, 1, -1, -3, -2, 0, 1.0, 0.5, 1.0, -1.0, -0.3333333333333333, -0.5, 'ZeroDivisionError']","[16, -20, -8, 20, 8, -24, 12]","[4, 8, 4, -4, -12, -8, 0]","[-5, -2, 5, 3, 2, -6, 4]","[2, 0, -3, 1, 1, -2, -1]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2541,"[-15, 1, 1, -15, 9, -11, 11]","[8, 2, -14, -12, 9, -13, -10]","[-11, 5, 5, -11, 13, -7, 15]","[12, 6, -10, -8, 13, -9, -6]","[-15, 1, -15, 9, -11, 11]","[8, 2, -12, 9, -13, -10]","[-15, 1, 4, 1, -15, 9, -11, 11]","[8, 2, 4, -14, -12, 9, -13, -10]","[-15, 1, 1, -15, 9, -11, 11, -0.06666666666666667, 1.0, 1.0, -0.06666666666666667, 0.1111111111111111, -0.09090909090909091, 0.09090909090909091]","[8, 2, -14, -12, 9, -13, -10, 0.125, 0.5, -0.07142857142857142, -0.08333333333333333, 0.1111111111111111, -0.07692307692307693, -0.1]","[-60, 4, 4, -60, 36, -44, 44]","[32, 8, -56, -48, 36, -52, -40]","[9, -15, -11, 1, 11, -15, 1]","[8, -10, 2, -12, -14, -13, 9]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2542,[-3],[4],[1],[8],[],[],"[-3, 4]","[4, 4]","[-3, -0.3333333333333333]","[4, 0.25]",[-12],[16],[-3],[4],error,error,error,error,error,error,[],error,error,error,error,error,error,error,error,error,error
2543,"[11, -2, 10, -1]","[3, -5, 6, -7]","[15, 2, 14, 3]","[7, -1, 10, -3]","[11, -2, 10]","[3, -5, 6]","[11, 4, -2, 10, -1]","[3, 4, -5, 6, -7]","[11, -2, 10, -1, 0.09090909090909091, -0.5, 0.1, -1.0]","[3, -5, 6, -7, 0.3333333333333333, -0.2, 0.16666666666666666, -0.14285714285714285]","[44, -8, 40, -4]","[12, -20, 24, -28]","[-2, 10, 11, -1]","[-7, 6, 3, -5]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2544,"[0, -11, -4, -11, -10]","[-1, -3, -15, 4, -15]","[4, -7, 0, -7, -6]","[3, 1, -11, 8, -11]","[0, -4, -11, -10]","[-1, -15, 4, -15]","[0, -11, 4, -4, -11, -10]","[-1, -3, 4, -15, 4, -15]","[0, -11, -4, -11, -10, 'ZeroDivisionError', -0.09090909090909091, -0.25, -0.09090909090909091, -0.1]","[-1, -3, -15, 4, -15, -1.0, -0.3333333333333333, -0.06666666666666667, 0.25, -0.06666666666666667]","[0, -44, -16, -44, -40]","[-4, -12, -60, 16, -60]","[-11, 0, -4, -10, -11]","[4, -3, -15, -1, -15]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2545,"[-1, -13, -15, 4, -5, -5]","[-17, -12, 2, -12, -14, -12]","[3, -9, -11, 8, -1, -1]","[-13, -8, 6, -8, -10, -8]","[-1, -15, 4, -5, -5]","[-17, 2, -12, -14, -12]","[-1, -13, 4, -15, 4, -5, -5]","[-17, -12, 4, 2, -12, -14, -12]","[-1, -13, -15, 4, -5, -5, -1.0, -0.07692307692307693, -0.06666666666666667, 0.25, -0.2, -0.2]","[-17, -12, 2, -12, -14, -12, -0.058823529411764705, -0.08333333333333333, 0.5, -0.08333333333333333, -0.07142857142857142, -0.08333333333333333]","[-4, -52, -60, 16, -20, -20]","[-68, -48, 8, -48, -56, -48]","[-13, -1, -15, -5, -5, 4]","[-12, -12, -14, -12, -17, 2]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2546,"[8, 1, 8, -1, -4, -8, -7]","[11, 0, 1, 13, -3, 18, -4]","[12, 5, 12, 3, 0, -4, -3]","[15, 4, 5, 17, 1, 22, 0]","[8, 8, -1, -4, -8, -7]","[11, 1, 13, -3, 18, -4]","[8, 1, 8, -1, -4, -8, -7, 4]","[11, 0, 1, 13, -3, 18, -4, 4]","[8, 1, 8, -1, -4, -8, -7, 0.125, 1.0, 0.125, -1.0, -0.25, -0.125, -0.14285714285714285]","[11, 0, 1, 13, -3, 18, -4, 0.09090909090909091, 'ZeroDivisionError', 1.0, 0.07692307692307693, -0.3333333333333333, 0.05555555555555555, -0.25]","[32, 4, 32, -4, -16, -32, -28]","[44, 0, 4, 52, -12, 72, -16]","[1, -1, 8, -4, 8, -7, -8]","[1, -3, 11, 0, 13, -4, 18]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2547,"[6, -8, 1, -5, 6]","[3, 6, 6, 5, 3]","[10, -4, 5, -1, 10]","[7, 10, 10, 9, 7]","[-8, 1, -5, 6]","[6, 6, 5, 3]","[6, -8, 1, -5, 6, 4]","[3, 6, 6, 5, 3, 4]","[6, -8, 1, -5, 6, 0.16666666666666666, -0.125, 1.0, -0.2, 0.16666666666666666]","[3, 6, 6, 5, 3, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.2, 0.3333333333333333]","[24, -32, 4, -20, 24]","[12, 24, 24, 20, 12]","[-8, 1, 6, -5, 6]","[5, 6, 3, 6, 3]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2548,"[3, -12, 1, -9]","[-8, 7, 5, -12]","[7, -8, 5, -5]","[-4, 11, 9, -8]","[-12, 1, -9]","[7, 5, -12]","[4, 3, -12, 1, -9]","[4, -8, 7, 5, -12]","[3, -12, 1, -9, 0.3333333333333333, -0.08333333333333333, 1.0, -0.1111111111111111]","[-8, 7, 5, -12, -0.125, 0.14285714285714285, 0.2, -0.08333333333333333]","[12, -48, 4, -36]","[-32, 28, 20, -48]","[3, 1, -12, -9]","[7, -8, -12, 5]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2549,"[-3, -1]","[5, 7]","[1, 3]","[9, 11]",[-3],[5],"[-3, -1, 4]","[5, 7, 4]","[-3, -1, -0.3333333333333333, -1.0]","[5, 7, 0.2, 0.14285714285714285]","[-12, -4]","[20, 28]","[-3, -1]","[7, 5]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2550,"[7, -16, -18, -6, 2, -4, -10, -17, -1, 2, -4, -13, 0]","[-14, 4, -5, -17, 7, -12, -6, -3, 1, -11, 1, 7, -11]","[11, -12, -14, -2, 6, 0, -6, -13, 3, 6, 0, -9, 4]","[-10, 8, -1, -13, 11, -8, -2, 1, 5, -7, 5, 11, -7]","[7, -16, -18, 2, -4, -10, -17, -1, 2, -4, -13, 0]","[-14, 4, -5, 7, -12, -6, -3, 1, -11, 1, 7, -11]","[7, -16, 4, -18, -6, 2, -4, -10, -17, -1, 2, -4, -13, 0]","[-14, 4, 4, -5, -17, 7, -12, -6, -3, 1, -11, 1, 7, -11]","[7, -16, -18, -6, 2, -4, -10, -17, -1, 2, -4, -13, 0, 0.14285714285714285, -0.0625, -0.05555555555555555, -0.16666666666666666, 0.5, -0.25, -0.1, -0.058823529411764705, -1.0, 0.5, -0.25, -0.07692307692307693, 'ZeroDivisionError']","[-14, 4, -5, -17, 7, -12, -6, -3, 1, -11, 1, 7, -11, -0.07142857142857142, 0.25, -0.2, -0.058823529411764705, 0.14285714285714285, -0.08333333333333333, -0.16666666666666666, -0.3333333333333333, 1.0, -0.09090909090909091, 1.0, 0.14285714285714285, -0.09090909090909091]","[28, -64, -72, -24, 8, -16, -40, -68, -4, 8, -16, -52, 0]","[-56, 16, -20, -68, 28, -48, -24, -12, 4, -44, 4, 28, -44]","[-4, 7, -4, -18, -10, 2, -6, -13, 0, -17, 2, -1, -16]","[-17, 4, -11, -3, -5, 7, 1, -14, -12, 7, -6, -11, 1]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2551,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],[],[],[],[],[],error,[],error,error,error,error,error,error,error,error,error,error
2552,"[-7, -14, 10, -13, 6, 5, 4, 4, 9, -5, -9, 6]","[-12, -1, -11, -1, -11, -5, 10, 9, 1, 3, 6, 1]","[-3, -10, 14, -9, 10, 9, 8, 8, 13, -1, -5, 10]","[-8, 3, -7, 3, -7, -1, 14, 13, 5, 7, 10, 5]","[-14, 10, -13, 6, 5, 4, 4, 9, -5, -9, 6]","[-1, -11, -1, -11, -5, 10, 9, 1, 3, 6, 1]","[-7, -14, 10, -13, 6, 4, 5, 4, 4, 9, -5, -9, 6]","[-12, -1, -11, -1, -11, 4, -5, 10, 9, 1, 3, 6, 1]","[-7, -14, 10, -13, 6, 5, 4, 4, 9, -5, -9, 6, -0.14285714285714285, -0.07142857142857142, 0.1, -0.07692307692307693, 0.16666666666666666, 0.2, 0.25, 0.25, 0.1111111111111111, -0.2, -0.1111111111111111, 0.16666666666666666]","[-12, -1, -11, -1, -11, -5, 10, 9, 1, 3, 6, 1, -0.08333333333333333, -1.0, -0.09090909090909091, -1.0, -0.09090909090909091, -0.2, 0.1, 0.1111111111111111, 1.0, 0.3333333333333333, 0.16666666666666666, 1.0]","[-28, -56, 40, -52, 24, 20, 16, 16, 36, -20, -36, 24]","[-48, -4, -44, -4, -44, -20, 40, 36, 4, 12, 24, 4]","[6, -5, 10, -9, -14, 4, 6, 9, -13, -7, 4, 5]","[-11, 1, -11, -1, -12, -5, 6, -1, 9, 1, 10, 3]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2553,"[3, 11, 7, -4, 0, 7, 1]","[7, -6, -2, 11, -2, 11, 4]","[7, 15, 11, 0, 4, 11, 5]","[11, -2, 2, 15, 2, 15, 8]","[3, 11, 7, -4, 0, 1]","[7, -6, -2, 11, -2, 4]","[4, 3, 11, 7, -4, 0, 7, 1]","[4, 7, -6, -2, 11, -2, 11, 4]","[3, 11, 7, -4, 0, 7, 1, 0.3333333333333333, 0.09090909090909091, 0.14285714285714285, -0.25, 'ZeroDivisionError', 0.14285714285714285, 1.0]","[7, -6, -2, 11, -2, 11, 4, 0.14285714285714285, -0.16666666666666666, -0.5, 0.09090909090909091, -0.5, 0.09090909090909091, 0.25]","[12, 44, 28, -16, 0, 28, 4]","[28, -24, -8, 44, -8, 44, 16]","[3, 7, 11, -4, 1, 0, 7]","[11, 11, 4, 7, -2, -6, -2]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
